id,Number_of_Shots_Fired,Distance_of_Victim_from_Police,Response_Time,Number_of_Officers_Involved,Time_of_Day,Population_Density_Of_City,Duration_of_Incident,Distance_from_the_Nearest_Police_Station
178,9,1188,3,4,03:27PM,200145,27,867
179,2,523,10,3,04:28PM,405722,32,1452
181,10,679,15,4,06:45PM,434652,86,809
182,8,333,14,3,02:07AM,443630,9,1111
183,5,412,3,1,06:39AM,260630,78,1028
184,10,18,19,2,01:05AM,340802,30,124
185,5,969,18,3,03:19AM,223545,34,1342
187,0,897,0,1,04:59AM,430267,32,348
188,4,856,13,5,06:24AM,464641,85,1828
189,7,301,18,4,10:57PM,118917,15,881
190,8,126,5,5,04:08PM,133171,45,105
191,8,556,9,1,10:10PM,335961,46,1733
192,2,79,19,3,11:10AM,281533,66,978
193,2,683,15,6,09:43PM,245096,82,1459
194,10,1071,19,3,09:48PM,219930,9,224
195,2,262,19,3,11:27PM,185915,19,1102
196,9,422,8,1,05:27PM,481641,25,728
197,9,1190,12,1,02:50AM,413270,27,178
198,6,209,6,6,08:49PM,268592,20,188
199,9,1081,11,2,04:06PM,149496,34,805
200,6,767,12,5,01:47PM,339437,45,1490
201,0,1370,16,3,02:09PM,182051,45,945
202,3,249,4,5,07:21AM,271686,77,1338
203,9,530,1,2,08:12PM,405530,87,1544
204,10,947,3,2,08:49AM,257686,56,485
205,3,1420,8,5,05:58PM,342440,66,412
206,0,486,13,5,03:38AM,263281,22,645
207,4,1035,20,5,01:31PM,117062,51,548
208,10,321,6,5,10:28PM,130162,48,217
209,10,1491,11,1,03:37AM,165744,18,1864
210,0,1291,13,2,09:11AM,430645,21,1730
211,9,1225,0,1,10:38PM,342440,21,1013
212,2,606,3,2,05:42AM,196017,80,1968
213,3,1002,11,1,07:43PM,405065,43,900
214,6,1301,3,1,01:43PM,363489,35,1692
215,8,675,17,3,08:27AM,124728,22,257
216,1,1144,9,2,11:05AM,232844,34,1605
217,6,1174,10,1,04:55AM,499540,81,1948
218,0,1255,8,1,11:55PM,287364,84,1896
219,5,640,14,2,02:30AM,372241,30,1848
220,7,1119,1,5,10:29AM,234390,34,358
221,8,1445,9,2,12:03PM,263347,35,339
222,8,313,6,1,01:50AM,428411,18,336
223,1,956,0,5,11:33AM,271673,37,958
224,3,659,13,1,10:38AM,294408,54,783
225,4,450,15,2,04:01PM,249998,39,198
226,10,317,11,4,05:39PM,411230,38,288
227,10,244,7,4,07:08PM,364188,18,1784
228,4,1499,4,2,02:15AM,176033,60,991
229,3,751,4,4,07:16PM,405530,66,587
230,8,662,4,4,10:12AM,336750,55,1881
231,2,1267,13,6,09:12PM,453577,65,770
232,0,94,6,5,08:38PM,239216,87,262
233,10,902,13,6,10:35PM,128912,28,1386
234,5,412,3,3,06:52PM,309190,28,1691
235,0,1169,8,3,05:20AM,491944,64,297
236,8,848,5,6,08:11AM,473606,21,1371
237,6,275,16,2,09:22AM,342440,46,468
238,0,1476,1,2,09:53PM,216390,43,1745
239,7,271,19,1,08:32PM,206495,19,343
242,6,731,12,4,02:57PM,186902,39,1653
243,0,360,1,6,08:29PM,498503,40,1466
244,2,492,0,5,07:03AM,420667,32,942
245,1,474,4,3,10:13PM,130034,85,215
246,6,322,17,1,07:40PM,193452,79,992
247,6,1391,2,4,04:01PM,125045,19,956
248,4,763,8,5,12:33AM,299162,11,1441
249,7,921,5,4,10:37PM,106540,63,851
250,6,429,3,4,08:45PM,337231,39,401
251,7,907,1,1,01:04AM,395915,43,1211
252,1,1402,5,1,11:02PM,181268,82,161
253,4,160,9,1,03:45PM,352685,48,683
254,0,366,10,1,12:09PM,370692,78,1016
255,4,401,0,5,12:41AM,197599,59,1202
256,0,38,8,2,05:52AM,296487,3,845
257,1,1486,11,5,12:39PM,190465,30,893
258,0,748,0,3,03:18AM,486464,79,366
259,3,520,17,6,08:07AM,413843,2,515
260,9,702,3,4,01:57AM,187887,68,127
261,5,110,14,3,02:34AM,411000,70,744
262,9,1091,3,4,04:19PM,414516,67,1905
263,3,675,0,6,11:15AM,219930,86,1722
265,1,862,16,5,12:25AM,276500,13,491
266,6,83,16,6,08:01AM,191982,68,733
267,2,891,18,5,03:54AM,252269,22,780
268,4,980,17,3,12:56PM,394812,80,796
269,9,542,7,2,02:09AM,305939,47,301
270,0,174,19,5,08:13PM,292418,12,1911
272,9,1397,7,5,02:11PM,182405,49,1902
273,8,1124,9,5,04:05PM,219631,44,1540
274,4,14,10,1,06:20AM,384176,88,989
275,7,970,3,4,07:55PM,413843,60,1210
276,7,1305,11,6,03:46AM,363744,31,1598
277,1,1366,14,4,05:19AM,366123,63,590
278,1,4,0,4,03:17PM,429536,14,1702
279,3,1087,13,2,11:43PM,419472,43,1362
280,8,1252,14,1,11:52AM,137499,68,1789
281,5,1312,18,4,02:10PM,270080,68,1568
282,9,949,0,3,02:11AM,264957,14,1247
283,4,1310,8,4,06:07PM,152472,41,130
284,9,1251,5,1,07:47AM,100879,70,275
285,8,106,6,3,01:19PM,161439,34,1983
286,0,239,11,3,08:31PM,243633,79,1171
287,7,1100,17,1,08:24AM,384649,22,1643
288,4,1024,9,6,03:28PM,124562,18,1763
289,10,663,15,3,05:39AM,429574,9,366
290,2,1093,12,3,06:35PM,314014,42,1443
291,5,84,12,4,04:20PM,190465,26,974
292,6,96,5,4,04:44AM,360201,4,1815
293,3,594,5,3,08:36AM,176540,70,596
294,3,935,18,6,07:40PM,386035,12,431
295,7,284,8,5,03:53AM,421851,8,464
296,2,317,15,3,05:41PM,187034,27,1766
297,1,1478,20,3,07:48PM,280446,15,1129
298,4,796,1,3,12:47PM,276500,22,1454
300,10,742,19,6,08:28PM,271673,27,910
301,0,24,8,4,10:46PM,331547,47,1981
302,0,338,20,4,07:04AM,169051,10,1498
303,9,327,9,4,03:50PM,352855,54,1917
304,1,547,1,2,11:52PM,303196,42,191
305,6,1167,9,4,10:41AM,138185,44,114
306,7,1465,20,1,06:56AM,237544,85,1632
307,10,466,19,2,02:22PM,320340,31,1245
309,1,274,18,1,11:32AM,186902,47,1785
310,0,994,19,2,11:47PM,270080,6,705
311,5,675,6,5,04:06AM,233160,20,748
312,10,397,0,2,05:23PM,464429,19,628
313,4,1143,3,3,08:43AM,158235,21,946
314,2,1458,3,1,07:12PM,416649,28,675
315,8,631,19,6,09:38PM,161692,55,1457
316,2,483,9,5,04:25AM,265909,86,893
317,0,241,3,6,12:18AM,104768,90,598
318,9,367,19,4,03:17PM,272962,81,1914
319,6,1175,11,3,01:25AM,314186,55,403
320,9,487,11,4,05:10PM,196017,81,804
321,5,1181,12,5,10:30PM,382627,29,132
322,5,1395,20,1,03:31PM,147953,5,576
323,3,83,10,2,04:01AM,268440,14,1939
324,0,1090,16,2,11:22PM,481266,24,1636
325,4,1357,10,1,05:33PM,382510,88,224
326,5,906,19,6,11:36PM,167594,21,1672
327,1,792,8,1,07:42PM,313952,61,1498
328,4,267,17,4,11:48PM,280260,49,1302
329,9,118,15,1,11:44AM,478908,16,1720
330,8,773,17,5,01:57AM,411230,41,1710
331,0,804,12,1,02:20AM,234278,47,618
332,8,1105,5,5,05:16AM,394268,21,899
333,1,739,13,5,11:35AM,394268,23,1695
334,6,1442,11,4,08:42PM,426975,6,852
335,7,1422,20,1,02:58AM,482963,80,995
336,0,427,2,3,11:57PM,445762,7,1273
337,2,1427,10,6,03:32PM,302307,40,1401
338,2,473,10,3,12:56PM,359138,15,1622
339,7,1209,8,5,08:16PM,117282,76,217
340,3,60,8,3,03:48PM,273190,48,1984
342,6,250,16,2,10:09PM,131505,56,1229
344,2,1012,4,4,11:48PM,280289,37,1989
345,7,1100,18,5,04:58AM,132855,13,1737
346,4,636,9,2,09:01PM,187887,84,1947
348,7,1244,10,3,09:14PM,155774,29,1564
351,3,665,17,4,10:01PM,115238,3,1257
352,5,1138,1,3,07:08AM,165744,75,166
353,8,220,2,2,05:48AM,244796,78,385
354,7,1252,12,2,07:03AM,467389,55,909
355,0,1021,10,3,11:41AM,377273,68,1950
356,7,521,1,2,06:48AM,115238,43,860
357,4,255,14,5,09:20AM,246185,37,1600
358,6,228,13,1,03:17PM,271686,42,957
359,0,1286,18,1,08:24PM,187887,35,159
360,1,1017,7,1,12:17AM,280260,4,544
361,0,839,6,3,12:31PM,210298,75,1272
362,3,775,18,3,10:35PM,379124,55,1495
363,2,596,7,2,03:53PM,404732,90,338
364,8,522,11,4,09:37AM,305310,85,1315
365,5,912,14,4,05:23PM,213128,23,1210
366,4,787,0,1,07:05PM,365482,7,137
367,0,834,9,5,05:03AM,437804,6,415
368,1,955,15,6,01:20AM,185577,51,1505
369,9,1079,5,6,04:50AM,461149,62,397
370,3,874,3,6,10:09AM,130504,17,807
371,10,550,2,2,11:24PM,478908,53,429
372,4,416,4,3,04:12PM,208458,53,995
373,5,1075,14,5,07:48PM,296487,13,1330
374,10,934,3,3,05:50PM,354380,51,1819
375,2,1200,9,6,02:54PM,182540,70,1031
376,2,1424,17,2,12:44AM,302188,83,1214
377,5,158,18,5,10:05PM,385884,58,713
378,6,961,10,2,02:58PM,278293,8,1027
379,0,547,20,5,01:40AM,272962,23,240
380,9,1206,2,5,12:29AM,106489,50,1651
381,8,174,6,5,09:44AM,416622,51,926
382,2,589,15,5,05:18PM,169051,49,1367
383,2,1127,5,4,01:24AM,388618,16,1240
384,2,635,3,5,12:25PM,260023,71,502
385,5,989,10,2,10:33AM,157552,4,1410
386,3,174,18,2,04:03AM,465817,85,643
387,7,1116,19,1,03:03AM,346610,57,1289
388,7,1057,4,4,12:26AM,320340,76,810
389,10,1211,2,2,05:36AM,437073,78,1499
390,5,1446,10,6,04:55PM,365482,73,789
391,7,1348,15,4,06:02AM,469076,17,1397
392,10,562,2,4,08:50AM,393578,64,1306
393,0,1002,10,2,08:25PM,276812,69,732
394,0,1231,18,1,11:01AM,318852,6,557
395,6,398,20,2,05:10PM,301346,7,578
396,10,120,4,3,11:22AM,275746,81,962
397,6,145,3,6,02:10PM,124728,59,476
398,8,187,14,5,07:32AM,313952,73,1140
400,4,1086,16,4,08:02AM,212172,64,731
401,0,997,17,2,04:15AM,128741,34,1218
402,8,370,3,3,10:31AM,293179,36,580
403,10,672,8,5,03:41PM,138310,64,673
404,6,1317,2,3,10:22PM,243194,41,151
405,4,781,4,6,01:46PM,333190,23,321
406,10,410,10,1,06:47PM,210025,30,1510
407,5,748,3,6,01:59AM,446724,19,637
408,5,746,14,1,01:50AM,378446,39,1358
409,3,581,3,2,11:49PM,120980,86,1551
410,8,1208,5,3,01:03PM,287484,31,1588
411,10,572,19,6,11:26PM,468695,59,668
412,0,550,5,3,07:08AM,129648,19,932
413,9,1137,5,3,03:46AM,424674,87,1568
414,7,1040,18,1,01:33AM,266313,38,333
415,6,1077,10,4,07:49PM,166600,12,1166
416,0,1499,9,2,08:02PM,172286,52,650
417,3,29,17,1,08:39AM,421493,38,1679
419,4,722,20,5,04:23PM,133895,23,930
420,6,644,9,2,05:48PM,340867,40,916
421,2,399,8,1,11:15AM,254002,73,1066
422,7,877,5,6,06:31AM,414945,19,929
423,8,818,1,2,10:39AM,384119,41,1850
424,6,788,11,6,02:25PM,427772,22,631
425,9,823,13,2,05:24PM,224155,5,1712
426,9,1493,4,1,09:13PM,440648,81,1366
428,10,637,16,1,02:10AM,270080,58,1095
429,0,1284,17,4,04:06AM,218082,66,312
430,1,424,20,3,04:49PM,354380,83,953
431,3,163,18,2,12:28AM,173487,37,1915
432,9,827,1,4,07:08AM,173402,10,1248
433,3,786,15,6,03:20AM,217470,43,1902
434,4,786,16,1,11:07PM,248027,6,1616
436,7,147,8,5,07:03PM,183556,2,1064
437,10,187,12,1,12:39AM,448874,69,1019
438,7,1061,8,6,09:02PM,104335,89,1630
439,7,353,16,3,03:37PM,382698,12,1189
440,1,573,13,2,08:45PM,439862,25,682
441,9,362,2,3,06:06AM,456411,12,900
442,7,367,9,4,09:00AM,275410,52,1423
443,2,1147,12,6,10:46PM,309190,31,1655
444,9,1351,19,3,12:33AM,384119,49,1941
445,4,259,16,2,09:44PM,415597,58,1690
446,10,156,4,2,01:51AM,124562,20,1283
447,8,1163,0,1,01:47PM,365758,15,1303
448,5,52,18,3,10:47AM,152472,24,548
449,7,476,16,5,03:06AM,266918,72,1935
450,10,861,11,6,04:04AM,458043,9,1608
451,5,315,18,4,01:05PM,368829,52,270
452,0,1048,5,1,09:16AM,473067,37,279
453,7,1159,20,5,09:03PM,413843,68,886
454,10,1266,13,6,07:08AM,423997,89,1438
455,8,182,12,6,04:21PM,281807,63,1139
456,7,1436,20,4,04:10PM,185577,49,762
457,8,983,4,3,10:56PM,315300,14,1538
458,10,357,17,5,01:45AM,286845,31,1427
459,7,65,19,1,11:07PM,408236,49,931
460,8,513,3,4,07:25AM,429500,27,666
461,4,364,2,4,01:29AM,219930,63,559
462,6,692,12,2,12:53PM,212084,4,1912
463,6,742,16,1,01:06AM,234390,58,1431
464,8,916,18,2,07:16PM,118699,27,1188
465,0,1456,9,5,03:53AM,465388,6,1720
467,5,1333,12,3,03:59AM,251512,19,1207
468,7,1172,13,6,10:12AM,433663,84,1955
469,6,329,0,4,12:53PM,280260,7,387
470,3,981,3,2,07:46PM,165744,69,1924
472,4,1184,18,5,02:30PM,365482,65,422
473,2,739,20,4,09:06AM,246733,61,167
474,8,113,8,3,06:26PM,451859,25,941
475,7,1058,18,6,09:21PM,129216,8,1526
476,0,788,12,5,10:10AM,363744,11,1975
477,1,446,1,1,08:08PM,490328,78,911
478,9,797,8,3,06:51PM,199948,3,1185
479,10,402,20,4,07:01AM,239647,82,407
480,4,224,13,4,03:02PM,315519,30,313
481,4,1376,2,2,09:51PM,106489,45,980
482,2,139,18,1,01:25AM,355550,72,1347
483,2,1237,7,3,07:15PM,106489,20,440
484,3,1331,3,1,01:04PM,363744,46,1911
485,6,1393,18,1,10:38AM,260543,14,433
486,5,440,6,5,01:20PM,276500,51,558
487,10,1026,2,2,09:24PM,318633,79,311
489,5,114,9,3,12:27PM,152472,56,709
490,8,520,0,3,01:05AM,268440,84,1514
491,8,695,12,4,01:10AM,110686,59,1585
492,4,1147,1,5,05:58PM,342440,48,197
493,9,631,14,1,05:33AM,118699,80,772
494,9,680,17,4,10:30AM,331197,27,894
495,0,912,1,6,07:24AM,394164,29,1955
496,10,997,20,4,05:52PM,206495,56,1870
497,0,109,15,6,01:35AM,416808,62,1473
499,2,1495,1,2,02:17PM,414895,83,1975
500,0,799,7,5,07:44AM,190465,39,1130
501,3,239,16,3,11:57AM,124562,13,1963
502,10,1450,14,3,02:33AM,298476,52,1565
503,7,479,9,6,06:30PM,118917,10,1011
504,10,1340,20,1,07:08PM,276500,87,1426
505,2,819,9,6,04:15AM,271083,36,1766
506,4,1028,1,3,08:31AM,351481,45,184
507,5,197,13,6,02:39AM,124562,15,1890
508,8,824,9,1,09:38PM,121345,89,1565
509,4,1198,11,4,05:03AM,444406,62,288
510,6,1257,17,2,12:51AM,106489,43,1740
511,2,44,15,6,01:10AM,183421,28,1340
512,6,1087,7,1,03:38PM,363328,69,780
513,8,275,19,6,01:25PM,277365,53,432
514,10,1045,9,5,10:50AM,297976,85,894
515,10,1364,1,6,04:03AM,373186,13,580
517,7,176,2,3,05:51AM,276500,71,1413
518,6,103,18,3,01:54PM,330031,58,260
520,8,873,16,6,04:54AM,382627,4,1056
521,9,1108,6,3,05:33AM,178019,68,614
522,3,1228,14,2,12:32PM,355643,78,663
523,0,625,5,2,05:59AM,118917,33,1473
524,5,820,9,1,05:23AM,311420,7,1234
525,0,954,14,5,08:48AM,166044,62,1173
526,9,646,1,4,05:26AM,228447,84,1434
527,5,216,2,1,07:59AM,438248,15,143
528,7,1286,7,5,03:56PM,333957,26,1581
529,5,27,16,1,09:16AM,390566,42,1190
530,10,271,16,3,11:34AM,434652,90,793
531,0,1305,16,2,10:05AM,370353,14,469
532,5,1446,9,5,09:42PM,384799,75,612
533,10,350,1,5,05:04AM,440905,9,465
534,10,605,12,1,08:37PM,190465,6,1535
535,10,1013,16,4,12:23PM,253425,87,1229
536,9,857,13,3,03:06PM,217628,59,1089
537,2,1240,15,1,02:42PM,206701,46,1419
538,9,15,7,5,08:14AM,221860,21,761
539,1,478,16,2,07:16AM,334777,16,1113
540,1,1313,17,3,05:07PM,111089,2,1859
541,6,138,17,3,05:25PM,384508,81,926
542,9,191,6,1,07:26PM,277096,44,677
543,10,1362,6,3,05:02PM,325579,19,252
544,4,870,16,4,05:37AM,363744,35,252
545,7,941,14,5,02:11PM,255930,69,468
546,5,183,19,1,10:46AM,340931,58,256
547,1,836,17,6,08:09PM,463786,5,1049
548,2,367,20,1,07:58PM,376556,25,200
549,2,187,19,1,03:40AM,290060,29,129
550,10,437,14,3,06:25PM,279952,23,798
551,1,720,13,3,11:01PM,201459,86,670
552,0,1013,7,5,10:56PM,196017,80,1673
553,9,1358,7,4,07:00PM,277388,8,746
554,9,841,18,2,01:03AM,271083,72,797
555,4,188,5,5,12:35AM,439451,77,857
556,0,1394,13,2,09:40AM,425176,86,1352
558,1,23,17,4,12:44AM,280446,38,1477
559,4,623,13,1,09:02PM,207102,12,1089
560,7,1117,17,2,02:25PM,331030,57,782
561,6,478,11,6,05:07AM,425858,69,887
562,9,769,0,5,07:19PM,212604,32,611
563,9,35,13,2,08:48PM,306930,25,858
564,0,399,6,2,07:19AM,384819,18,702
565,6,491,4,5,07:33AM,373186,68,873
566,10,803,2,6,12:17AM,352855,51,1291
567,9,396,2,6,11:54AM,187559,67,1584
568,4,603,1,5,11:43PM,426975,3,1710
569,5,80,1,6,10:29AM,352011,27,918
571,1,844,19,5,12:48PM,280504,6,785
573,3,1013,4,1,05:06PM,166600,15,912
574,10,1312,5,1,10:47PM,359660,59,1200
575,9,36,17,2,08:46AM,269391,43,1102
576,0,1036,9,6,03:32AM,117630,15,748
577,5,7,12,5,06:50PM,481929,49,1828
578,9,652,13,6,07:09AM,472097,5,808
579,7,371,19,4,01:22PM,217470,71,1003
580,3,147,2,2,01:39AM,494063,59,1698
581,0,12,9,6,05:13AM,222150,66,1134
582,0,206,14,3,08:24PM,336303,17,1225
583,9,92,19,4,05:00PM,495732,67,1398
584,2,346,15,3,09:16PM,155774,17,1316
585,7,777,13,2,11:20PM,137777,56,1675
586,4,344,12,3,04:07AM,478908,81,1793
587,9,373,14,3,06:03PM,404732,32,975
588,2,998,16,2,12:08PM,271083,67,126
589,4,1363,10,5,03:16AM,408236,24,399
591,6,873,17,1,12:34PM,319015,14,1643
592,3,1120,5,2,12:06AM,320340,81,715
593,6,638,9,6,02:56PM,339310,4,115
594,9,70,15,3,03:26PM,406629,6,691
595,4,669,3,5,03:57PM,413270,83,309
596,4,815,6,4,05:32PM,305295,38,517
598,8,20,10,3,07:52AM,429985,41,221
600,1,258,0,6,05:26PM,294408,83,714
602,4,504,8,3,06:15AM,303859,50,1724
603,4,821,20,6,03:55PM,390187,47,1920
604,6,664,9,3,01:39AM,366819,12,938
605,6,847,1,6,02:01AM,166600,80,852
606,3,1046,15,1,01:10PM,429574,29,1800
607,4,39,8,6,04:28PM,261510,60,137
608,0,848,8,6,03:06PM,456411,79,1074
609,8,601,10,5,11:26AM,276500,86,257
610,4,1376,20,3,01:16AM,399463,63,556
611,0,1008,3,5,05:24AM,367154,21,440
612,4,399,20,5,02:32PM,341413,47,945
613,0,929,10,3,05:15PM,225714,52,1419
614,0,714,1,1,07:38AM,191982,31,229
615,4,290,8,5,05:21AM,328370,40,971
616,9,1258,13,6,06:24AM,121709,18,533
617,2,477,5,5,03:17AM,474029,86,555
618,9,442,5,2,03:17PM,294408,48,1397
619,5,729,17,1,11:17AM,408617,42,600
620,8,1391,20,1,08:44PM,152472,38,703
621,6,978,7,1,01:03AM,294408,12,1000
622,3,295,5,2,10:23AM,264105,47,1676
